"CODICE STABILIMENTO","Anno","Codice Regione","Descrizione Regione","Codice Azienda","Denominazione Azienda","Codice USL territoriale","Codice struttura","Denominazione struttura","Tipo struttura","Strutture di ricovero.Partita IVA","Descrizione tipo struttura","Tipo IRCCS/A.O. Univ. e Policlinico","Tipo casa di cura","Strutture di ricovero.Attività riabilitazione","Strutture di ricovero.Attività day surgery","Strutture di ricovero.Attività pediatrica","Subcodice","Denominazione","Stabilimenti.Partita IVA","Stabilimenti.Attività day surgery","Stabilimenti.Attività pediatrica","Stabilimenti.Attività riabilitazione","Giorno apertura","Mese apertura","Anno apertura","Giorno chiusura","Mese chiusura","Anno chiusura","Indirizzo","CAP","Codice Comune","Comune","Sigla provincia","Nome provincia","Diagnostica per immagini","Dipartimento emergenza","Centro trasfusionale","Oncologia medica","Pronto soccorso","Pronto soccorso pediatrico","Radioterapia","Servizio rianimazione","Servizio dialisi","Sale operatorie stab.","Posti camere iperbariche stab.","Incubatrici stab.","Culle stab.","ClassificazioneStruttura","chiave stabilimento","Codice disciplina","Descrizione disciplina","Progressivo divisione","Mese apertura (right)","Anno apertura (right)","Mese chiusura (right)","Anno chiusura (right)","Denominazione (right)","Totale posti degenza","Day hospital","Day surgery","Totale posti","Denominazione finale"
1090501,2019,"010","PIEMONTE             ","905","AZIENDA OSPED. NOVARA E GALLIATE","208","010905","AZIENDA OSPED. NOVARA E GALLIATE        ","02","01521330033","AZIENDA OSPEDALIERO-UNIVERSITARIA E POLICLINICO","2",,,,,"01","OSP. MAGGIORE DELLA CARITA'             ","01521330033",,,,1,1,1988,0,0,0,"CORSO MAZZINI GIUSEPPE 18               ","28100","003106","NOVARA                                  ","NO","NOVARA                        ","X",2,"X","X","X","X","X","X","X",26,0,16,20,"SSN","01090501","02","DAY HOSPITAL                            ","01","01","1988","00","0000","OSP. MAGGIORE DELLA CARITA'             ",0,2,0,2,"OSP. MAGGIORE DELLA CARITA'"
1090501,2019,"010","PIEMONTE             ","905","AZIENDA OSPED. NOVARA E GALLIATE","208","010905","AZIENDA OSPED. NOVARA E GALLIATE        ","02","01521330033","AZIENDA OSPEDALIERO-UNIVERSITARIA E POLICLINICO","2",,,,,"01","OSP. MAGGIORE DELLA CARITA'             ","01521330033",,,,1,1,1988,0,0,0,"CORSO MAZZINI GIUSEPPE 18               ","28100","003106","NOVARA                                  ","NO","NOVARA                        ","X",2,"X","X","X","X","X","X","X",26,0,16,20,"SSN","01090501","02","DAY HOSPITAL                            ","02","01","1988","00","0000","OSP. MAGGIORE DELLA CARITA'             ",0,3,0,3,"OSP. MAGGIORE DELLA CARITA'"
1090501,2019,"010","PIEMONTE             ","905","AZIENDA OSPED. NOVARA E GALLIATE","208","010905","AZIENDA OSPED. NOVARA E GALLIATE        ","02","01521330033","AZIENDA OSPEDALIERO-UNIVERSITARIA E POLICLINICO","2",,,,,"01","OSP. MAGGIORE DELLA CARITA'             ","01521330033",,,,1,1,1988,0,0,0,"CORSO MAZZINI GIUSEPPE 18               ","28100","003106","NOVARA                                  ","NO","NOVARA                        ","X",2,"X","X","X","X","X","X","X",26,0,16,20,"SSN","01090501","07","CARDIOCHIRURGIA                         ","01","01","1988","00","0000","OSP. MAGGIORE DELLA CARITA'             ",10,0,0,10,"OSP. MAGGIORE DELLA CARITA'"
1090501,2019,"010","PIEMONTE             ","905","AZIENDA OSPED. NOVARA E GALLIATE","208","010905","AZIENDA OSPED. NOVARA E GALLIATE        ","02","01521330033","AZIENDA OSPEDALIERO-UNIVERSITARIA E POLICLINICO","2",,,,,"01","OSP. MAGGIORE DELLA CARITA'             ","01521330033",,,,1,1,1988,0,0,0,"CORSO MAZZINI GIUSEPPE 18               ","28100","003106","NOVARA                                  ","NO","NOVARA                        ","X",2,"X","X","X","X","X","X","X",26,0,16,20,"SSN","01090501","08","CARDIOLOGIA                             ","01","01","1988","00","0000","OSP. MAGGIORE DELLA CARITA'             ",22,2,0,24,"OSP. MAGGIORE DELLA CARITA'"
1090501,2019,"010","PIEMONTE             ","905","AZIENDA OSPED. NOVARA E GALLIATE","208","010905","AZIENDA OSPED. NOVARA E GALLIATE        ","02","01521330033","AZIENDA OSPEDALIERO-UNIVERSITARIA E POLICLINICO","2",,,,,"01","OSP. MAGGIORE DELLA CARITA'             ","01521330033",,,,1,1,1988,0,0,0,"CORSO MAZZINI GIUSEPPE 18               ","28100","003106","NOVARA                                  ","NO","NOVARA                        ","X",2,"X","X","X","X","X","X","X",26,0,16,20,"SSN","01090501","08","CARDIOLOGIA                             ","02","01","1988","00","0000","OSP. MAGGIORE DELLA CARITA'             ",10,2,0,12,"OSP. MAGGIORE DELLA CARITA'"
1090501,2019,"010","PIEMONTE             ","905","AZIENDA OSPED. NOVARA E GALLIATE","208","010905","AZIENDA OSPED. NOVARA E GALLIATE        ","02","01521330033","AZIENDA OSPEDALIERO-UNIVERSITARIA E POLICLINICO","2",,,,,"01","OSP. MAGGIORE DELLA CARITA'             ","01521330033",,,,1,1,1988,0,0,0,"CORSO MAZZINI GIUSEPPE 18               ","28100","003106","NOVARA                                  ","NO","NOVARA                        ","X",2,"X","X","X","X","X","X","X",26,0,16,20,"SSN","01090501","09","CHIRURGIA GENERALE                      ","01","01","1988","00","0000","OSP. MAGGIORE DELLA CARITA'             ",16,0,1,17,"OSP. MAGGIORE DELLA CARITA'"
1090501,2019,"010","PIEMONTE             ","905","AZIENDA OSPED. NOVARA E GALLIATE","208","010905","AZIENDA OSPED. NOVARA E GALLIATE        ","02","01521330033","AZIENDA OSPEDALIERO-UNIVERSITARIA E POLICLINICO","2",,,,,"01","OSP. MAGGIORE DELLA CARITA'             ","01521330033",,,,1,1,1988,0,0,0,"CORSO MAZZINI GIUSEPPE 18               ","28100","003106","NOVARA                                  ","NO","NOVARA                        ","X",2,"X","X","X","X","X","X","X",26,0,16,20,"SSN","01090501","09","CHIRURGIA GENERALE                      ","02","01","1988","00","0000","OSP. MAGGIORE DELLA CARITA'             ",12,0,3,15,"OSP. MAGGIORE DELLA CARITA'"
1090501,2019,"010","PIEMONTE             ","905","AZIENDA OSPED. NOVARA E GALLIATE","208","010905","AZIENDA OSPED. NOVARA E GALLIATE        ","02","01521330033","AZIENDA OSPEDALIERO-UNIVERSITARIA E POLICLINICO","2",,,,,"01","OSP. MAGGIORE DELLA CARITA'             ","01521330033",,,,1,1,1988,0,0,0,"CORSO MAZZINI GIUSEPPE 18               ","28100","003106","NOVARA                                  ","NO","NOVARA                        ","X",2,"X","X","X","X","X","X","X",26,0,16,20,"SSN","01090501","09","CHIRURGIA GENERALE                      ","08","01","1988","00","0000","OSP. MAGGIORE DELLA CARITA'             ",4,0,1,5,"OSP. MAGGIORE DELLA CARITA'"
1090501,2019,"010","PIEMONTE             ","905","AZIENDA OSPED. NOVARA E GALLIATE","208","010905","AZIENDA OSPED. NOVARA E GALLIATE        ","02","01521330033","AZIENDA OSPEDALIERO-UNIVERSITARIA E POLICLINICO","2",,,,,"01","OSP. MAGGIORE DELLA CARITA'             ","01521330033",,,,1,1,1988,0,0,0,"CORSO MAZZINI GIUSEPPE 18               ","28100","003106","NOVARA                                  ","NO","NOVARA                        ","X",2,"X","X","X","X","X","X","X",26,0,16,20,"SSN","01090501","10","CHIRURGIA MAXILLO FACCIALE              ","01","01","1988","00","0000","OSP. MAGGIORE DELLA CARITA'             ",8,0,2,10,"OSP. MAGGIORE DELLA CARITA'"
1090501,2019,"010","PIEMONTE             ","905","AZIENDA OSPED. NOVARA E GALLIATE","208","010905","AZIENDA OSPED. NOVARA E GALLIATE        ","02","01521330033","AZIENDA OSPEDALIERO-UNIVERSITARIA E POLICLINICO","2",,,,,"01","OSP. MAGGIORE DELLA CARITA'             ","01521330033",,,,1,1,1988,0,0,0,"CORSO MAZZINI GIUSEPPE 18               ","28100","003106","NOVARA                                  ","NO","NOVARA                        ","X",2,"X","X","X","X","X","X","X",26,0,16,20,"SSN","01090501","11","CHIRURGIA PEDIATRICA                    ","01","01","1988","00","0000","OSP. MAGGIORE DELLA CARITA'             ",4,0,6,10,"OSP. MAGGIORE DELLA CARITA'"
